date,sm,heldout_n,wm_err_med,wm_err_p90,err_near,err_mid,err_far,frozen_med,frozen_far,rad_rho,rad_mae
2026-07-15 20:42,sm_reanchor35.pth,1595,1.192,4.264,1.191,0.883,2.767,,,
2026-07-16 00:25,sm_reanchor36.pth,1642,1.204,4.407,1.188,1.009,2.525,,,
2026-07-16 04:37,sm_reanchor37.pth,1681,1.184,4.271,1.060,1.047,2.855,,,
2026-07-16 08:12,sm_reanchor38.pth,1726,1.301,4.209,1.283,1.105,2.563,,,
2026-07-16 11:49,sm_reanchor39.pth,1772,1.169,4.498,1.121,0.932,2.936,1.169,2.936,0.321,0.973
2026-07-16 16:21,sm_reanchor40.pth,1820,1.283,4.701,1.204,1.066,2.628,1.373,2.218,0.256,1.033
2026-07-16 20:49,sm_reanchor41.pth,1873,1.236,4.656,1.073,0.999,2.749,1.012,2.475,0.232,1.038
2026-07-17 00:17,sm_reanchor42.pth,3337,1.347,4.681,1.272,1.119,2.784,1.290,2.794,0.331,1.134
2026-07-17 04:10,sm_reanchor43.pth,3387,1.234,4.643,1.067,1.046,2.796,1.149,2.813,0.278,1.133
2026-07-17 14:21,sm_reanchor44.pth,3498,1.429,4.827,1.363,1.148,2.784,1.386,2.794,0.252,1.170
2026-07-17 19:21,sm_reanchor45.pth,3561,1.327,4.902,1.169,1.067,2.771,1.261,2.882,0.292,1.194
2026-07-17 23:57,sm_reanchor46.pth,3622,1.349,5.039,1.157,1.086,2.730,1.293,2.772,0.189,1.279
2026-07-18 05:23,sm_reanchor47.pth,3693,1.370,5.027,1.229,1.153,2.728,1.302,2.654,0.212,1.231
2026-07-18 10:51,sm_reanchor48.pth,3765,1.356,5.244,1.207,1.094,2.880,1.287,3.016,0.103,1.416
2026-07-21 23:21,sm_reanchor49.pth,3877,1.380,5.384,1.176,1.007,2.647,1.259,2.709,0.195,1.350
2026-07-22 07:31,sm_reanchor50.pth,3973,1.347,5.446,1.059,1.040,2.777,1.212,2.725,0.265,1.293
2026-07-22 15:25,sm_reanchor51.pth,4054,1.435,5.146,1.221,1.193,2.777,1.356,2.856,0.251,1.306
2026-07-22 18:18,sm_reanchor52.pth,4075,1.419,5.287,1.257,1.047,2.713,1.286,2.787,0.246,1.305
2026-07-23 00:24,sm_reanchor53.pth,4118,1.378,5.258,1.203,1.099,2.606,1.288,2.624,0.266,1.281
2026-07-23 04:01,sm_reanchor54.pth,4155,1.372,5.395,1.154,1.042,2.586,1.299,2.771,0.241,1.314
2026-07-23 07:24,sm_reanchor55.pth,4196,1.352,5.254,1.179,1.011,2.643,1.231,2.736,0.301,1.361
2026-07-23 10:31,sm_reanchor56.pth,4220,1.406,5.331,1.193,1.160,2.502,1.289,2.676,0.276,1.268
2026-07-23 14:12,sm_reanchor57.pth,4264,1.358,5.225,1.179,0.997,2.502,1.248,2.598,0.310,1.278
2026-07-23 17:23,sm_reanchor58.pth,4285,1.342,5.211,1.135,0.966,2.532,1.214,2.661,0.276,1.295
2026-07-23 18:52,sm_reanchor58r.pth,4299,1.355,5.155,1.156,1.076,2.413,1.227,2.593,nan,nan
2026-07-23 21:09,sm_reanchor59.pth,4244,1.392,4.872,1.147,1.083,2.345,1.296,2.740,0.252,1.326
2026-07-23 23:34,sm_reanchor60.pth,4260,1.363,5.023,1.004,1.083,2.425,1.208,2.609,0.287,1.327
2026-07-24 08:19,sm_reanchor61.pth,4277,1.362,5.099,1.178,1.087,2.317,1.286,2.691,0.272,1.365
2026-07-24 10:57,sm_reanchor62.pth,4575,1.444,5.002,1.165,1.102,2.140,1.322,2.637,0.241,1.346
2026-07-24 16:21,sm_reanchor63.pth,4641,1.409,4.838,1.207,1.099,2.061,1.303,2.608,0.291,1.289
2026-07-24 21:47,sm_reanchor64.pth,4707,1.392,4.864,1.288,1.039,2.062,1.351,2.644,0.337,1.266
2026-07-25 02:21,sm_reanchor65.pth,4769,1.396,4.832,1.263,1.112,1.848,1.322,2.725,0.209,1.349
2026-07-25 06:13,sm_reanchor66.pth,4821,1.400,4.705,1.193,1.201,1.891,1.362,2.562,0.267,1.331
2026-07-25 10:04,sm_reanchor67.pth,4873,1.465,4.918,1.155,1.123,2.136,1.278,2.907,0.313,1.266
2026-07-25 14:46,sm_reanchor68.pth,4940,1.468,4.995,1.240,1.045,2.087,1.310,2.867,0.280,1.399
2026-07-25 18:49,sm_reanchor69.pth,4996,1.417,4.858,1.202,1.062,1.985,1.336,2.576,0.310,1.286
