date,sm,model,neg_pot_n,ood_err_med,n_ruler
2026-08-01 11:30,sm_reanchor97.pth,mlp,105,4.296,15
2026-08-01 11:49,sm_two97.pth,two,107,2.423,15
2026-08-02 00:27,sm_reanchor98.pth,mlp,1061,5.052,15
2026-08-02 00:48,sm_two98.pth,two,1083,5.089,15
2026-08-02 12:44,sm_reanchor99.pth,mlp,1919,3.227,30
2026-08-02 13:06,sm_two99.pth,two,1951,2.915,30
2026-08-02 21:42,sm_reanchor100.pth,mlp,2515,3.918,30
2026-08-02 22:13,sm_two100.pth,two,2550,3.233,30
2026-08-02 22:27,sm_two100.pth,two,2565,2.449,30
2026-08-03 11:24,sm_reanchor101.pth,mlp,3534,4.635,30
2026-08-03 11:57,sm_two101.pth,two,3570,2.553,30
2026-08-03 17:46,sm_reanchor102.pth,mlp,3749,4.772,30
2026-08-03 18:13,sm_two102.pth,two,3769,3.046,30
2026-08-04 02:16,sm_reanchor103.pth,mlp,3971,3.670,30
2026-08-04 02:42,sm_two103.pth,two,3997,2.183,30
2026-08-04 08:13,sm_reanchor104.pth,mlp,4177,3.453,30
2026-08-04 08:35,sm_two104.pth,two,4202,3.682,30
2026-08-04 19:19,sm_reanchor105.pth,mlp,4580,4.840,30
2026-08-04 19:44,sm_two105.pth,two,4594,2.600,30
2026-08-04 23:53,sm_reanchor106.pth,mlp,4648,2.930,30
2026-08-04 23:55,sm_reanchor106.pth,mlp,4649,3.406,30
2026-08-05 00:18,sm_two106.pth,two,4659,2.044,30
2026-08-05 00:18,sm_two106.pth,two,4659,3.071,30
2026-08-05 04:48,sm_reanchor107.pth,mlp,4922,4.480,30
2026-08-05 05:12,sm_two107.pth,two,4957,3.204,30
2026-08-05 15:24,sm_ablate_neg5k.pth,mlp,5720,1.819,30
2026-08-05 16:45,sm_reanchor108.pth,mlp,5812,4.952,30
2026-08-05 17:12,sm_two108.pth,two,5827,2.947,30
