date,shadow,heldout_n,med,p90,near,far,frozen_med,frozen_far
2026-07-17 01:31,sm_shadow42.pth,3348,3.016,4.667,3.078,2.606,2.987,2.472
2026-07-17 04:45,sm_shadow43.pth,3387,2.752,4.859,2.744,2.782,2.725,2.364
2026-07-17 15:03,sm_shadow44.pth,3498,2.679,4.682,2.681,2.413,2.691,2.489
2026-07-17 20:08,sm_shadow45.pth,3561,2.667,5.116,2.626,2.574,2.651,2.485
2026-07-18 00:45,sm_shadow46.pth,3622,2.507,5.237,2.465,2.555,2.507,2.487
2026-07-18 06:15,sm_shadow47.pth,3693,2.655,5.101,2.620,2.536,2.645,2.380
2026-07-18 11:48,sm_shadow48.pth,3765,2.433,5.537,2.352,2.542,2.412,2.455
2026-07-22 00:27,sm_shadow49.pth,3877,2.389,5.653,2.332,2.436,2.383,2.473
2026-07-22 08:38,sm_shadow50.pth,3973,2.303,5.778,2.208,2.569,2.266,2.557
2026-07-22 20:40,sm_shadow52.pth,4090,2.310,6.098,2.224,2.532,2.280,2.600
2026-07-23 05:12,sm_shadow54.pth,4155,2.270,6.034,2.188,2.457,2.248,2.574
2026-07-23 11:46,sm_shadow56.pth,4220,2.288,6.087,2.209,2.350,2.262,2.509
2026-07-23 18:36,sm_shadow58.pth,4285,2.313,5.912,2.241,2.382,2.269,2.539
2026-07-24 00:07,sm_shadow60.pth,4260,4.864,6.452,5.492,2.485,5.130,3.121
2026-07-24 11:33,sm_shadow62.pth,4575,4.706,6.282,5.176,3.036,4.824,2.969
