date,sm,ho_n,two_med,two_frozen,lohead_rho,lohead_mae
2026-07-24 04:17,sm_two60.pth,4264,1.070,0.853,0.778,0.387
2026-07-24 12:06,sm_two62.pth,4586,0.948,0.826,0.787,0.425
2026-07-24 16:56,sm_two63.pth,4646,1.090,0.878,0.791,0.394
2026-07-24 23:00,sm_two64.pth,4726,0.899,0.804,0.813,0.395
2026-07-25 03:32,sm_two65.pth,4785,0.883,0.817,0.794,0.400
2026-07-25 07:25,sm_two66.pth,4838,0.901,0.814,0.808,0.371
2026-07-25 11:16,sm_two67.pth,4892,0.897,0.802,0.802,0.353
2026-07-25 16:02,sm_two68.pth,4960,0.914,0.818,0.807,0.398
2026-07-25 20:13,sm_two69.pth,5019,0.903,0.801,0.826,0.436
2026-07-26 00:31,sm_two70.pth,5077,0.905,0.769,0.810,0.457
2026-07-26 05:00,sm_two71.pth,5135,0.960,0.838,0.828,0.485
2026-07-26 08:56,sm_two72.pth,5190,0.936,0.813,0.817,0.486
2026-07-26 12:45,sm_two73.pth,5251,0.930,0.780,0.813,0.383
2026-07-26 16:58,sm_two74.pth,5310,0.918,0.773,0.828,0.405
2026-07-26 21:38,sm_two75.pth,5376,0.930,0.800,0.816,0.448
2026-07-27 02:22,sm_two76.pth,5443,0.951,0.806,0.817,0.411
2026-07-27 07:15,sm_two77.pth,5513,0.946,0.844,0.829,0.418
2026-07-27 12:27,sm_two78.pth,5589,0.955,0.800,0.825,0.458
2026-07-27 17:15,sm_two79.pth,5663,0.922,0.802,0.826,0.528
2026-07-27 22:51,sm_two80.pth,5745,0.925,0.797,0.824,0.437
2026-07-28 04:45,sm_two81.pth,5832,0.957,0.795,0.816,0.475
2026-07-28 09:44,sm_two82.pth,5907,0.988,0.828,0.835,0.480
2026-07-28 15:45,sm_two83.pth,5990,0.977,0.805,0.824,0.481
2026-07-28 20:56,sm_two84.pth,6063,0.969,0.802,0.825,0.478
2026-07-29 05:27,sm_two85.pth,6192,0.982,0.811,0.826,0.474
2026-07-29 14:50,sm_two86.pth,6330,0.977,0.819,0.831,0.495
2026-07-30 01:24,sm_two87.pth,6473,0.738,0.522,0.832,0.543
2026-07-30 14:29,sm_two88.pth,6591,0.741,0.590,0.833,0.508
2026-07-30 18:06,sm_two89.pth,6625,0.676,0.514,0.832,0.487
