epoch,ho_med,frozen_med,harvest_med
10,0.7271,0.6249,1.8437
20,0.6277,0.5287,1.8427
30,0.6279,0.5203,1.9373
40,0.6754,0.5701,2.0937
50,0.9072,0.7865,2.2077
60,0.739,0.6152,2.1469
70,0.6742,0.5701,1.9908
80,0.6812,0.5811,2.0246
90,0.6682,0.5706,2.0225
100,0.6584,0.5532,2.0279
110,0.6558,0.5511,1.9842
120,0.6462,0.5423,1.9608
130,0.6387,0.5344,2.0272
140,0.6341,0.5397,2.0303
150,0.6354,0.5405,1.9505
160,0.6308,0.5119,1.9364
170,0.6315,0.5418,1.9645
180,0.6375,0.5265,1.948
190,0.6257,0.508,1.9751
200,0.6268,0.5063,1.961
